coverage,contiguity,risk_score,flag,n_fragments,best_match_accession,order_id,true_label,true_label_name
0.4025,0.4033,0.4474,REVIEW,7,AF116575,H1N-PAR-0014,3,suspicious_partial
0.7156,0.7156,0.7432,ALERT,9,AF116575,H1N-MED-0027,8,suspicious_medium
0.0451,0.023,0.1056,CLEAR,5,AF116575,BEN-0113,0,benign
0.5803,0.5803,0.6133,ALERT,8,AF116575,H1N-MED-0019,8,suspicious_medium
0.9402,0.9402,0.9491,ALERT,12,AF116575,H1N-MED-0008,2,suspicious_medium
0.6008,0.6008,0.6307,ALERT,8,AF116575,H1N-MED-0014,8,suspicious_medium
0.9484,0.9484,0.9561,ALERT,16,AF116575,H1N-HIG-0012,7,suspicious_high
0.9992,0.9992,0.9993,ALERT,19,AF116575,H1N-HIG-0009,1,suspicious_high
0.3589,0.1766,0.3312,CLEAR,6,AF250356,H1N-PAR-0007,6,suspicious_partial
0.059,0.032,0.0707,CLEAR,2,AF116575,BEN-0051,0,benign
0.668,0.668,0.7028,ALERT,9,AF116575,H1N-MED-0029,8,suspicious_medium
0.0149,0.0,0.0824,CLEAR,5,AF250356,BEN-0141,0,benign
0.017,0.017,0.0595,CLEAR,3,AF117241,BEN-0093,0,benign
0.7279,0.368,0.6427,ALERT,10,AF116575,H1N-PAR-0002,3,suspicious_partial
0.0461,0.0206,0.0752,CLEAR,3,AF250356,BEN-0028,0,benign
0.791,0.791,0.8223,ALERT,11,AF116575,H1N-MED-0009,8,suspicious_medium
0.0163,0.0163,0.0439,CLEAR,2,AF250356,BEN-0087,0,benign
0.0,0.0,0.015,CLEAR,1,AF117241,BEN-0145,0,benign
0.9393,0.9393,0.9484,ALERT,11,AF116575,H1N-HIG-0027,7,suspicious_high
0.0,0.0,0.03,CLEAR,2,AF117241,BEN-0003,0,benign
0.9984,0.9984,0.9986,ALERT,13,AF116575,H1N-HIG-0005,7,suspicious_high
0.0248,0.0,0.0424,CLEAR,2,AF250356,BEN-0037,0,benign
0.9851,0.9851,0.9873,ALERT,16,AF250356,H1N-HIG-0017,4,suspicious_high
1.0,1.0,1.0,ALERT,18,AF116575,H1N-HIG-0001,1,suspicious_high
0.3617,0.1326,0.3323,CLEAR,7,AF250356,H1N-PAR-0012,6,suspicious_partial
0.0255,0.0,0.0878,CLEAR,5,AF250356,BEN-0112,0,benign
0.5303,0.3336,0.4869,REVIEW,7,AF116575,H1N-PAR-0011,9,suspicious_partial
0.0844,0.0352,0.1295,CLEAR,5,AF116575,BEN-0108,0,benign
0.4885,0.4943,0.5223,REVIEW,7,AF116575,H1N-PAR-0004,3,suspicious_partial
0.9336,0.9336,0.9436,ALERT,15,AF116575,H1N-HIG-0006,7,suspicious_high
0.9992,0.9992,0.9993,ALERT,19,AF116575,H1N-HIG-0018,1,suspicious_high
0.8016,0.8016,0.8314,ALERT,11,AF116575,H1N-MED-0020,8,suspicious_medium
0.859,0.859,0.8802,ALERT,13,AF116575,H1N-HIG-0025,7,suspicious_high
0.3311,0.1959,0.2941,CLEAR,4,AF116575,H1N-PAR-0026,9,suspicious_partial
0.5869,0.5869,0.6039,ALERT,7,AF116575,H1N-MED-0008,8,suspicious_medium
0.0,0.0,0.06,CLEAR,4,AF117241,BEN-0144,0,benign
0.9115,0.9115,0.9248,ALERT,15,AF116575,H1N-HIG-0017,7,suspicious_high
0.3291,0.2482,0.3264,CLEAR,5,AF250356,H1N-PAR-0013,6,suspicious_partial
0.3525,0.3099,0.3747,REVIEW,6,AF250356,H1N-PAR-0028,6,suspicious_partial
0.4284,0.2348,0.4163,REVIEW,8,AF250356,H1N-PAR-0001,6,suspicious_partial
0.4475,0.2115,0.4028,REVIEW,7,AF116575,H1N-PAR-0014,9,suspicious_partial
0.0,0.0,0.015,CLEAR,1,AF117241,BEN-0041,0,benign
0.6908,0.6908,0.7372,ALERT,12,AF250356,H1N-MED-0007,5,suspicious_medium
0.6652,0.6652,0.7155,ALERT,11,AF250356,H1N-MED-0000,5,suspicious_medium
0.5123,0.2861,0.4463,REVIEW,6,AF116575,H1N-PAR-0028,3,suspicious_partial
0.0191,0.0,0.0696,CLEAR,4,AF250356,BEN-0060,0,benign
0.723,0.7418,0.7711,ALERT,12,AF116575,H1N-PAR-0022,3,suspicious_partial
0.0,0.0,0.075,CLEAR,5,AF117241,BEN-0084,0,benign
1.0,1.0,1.0,ALERT,14,AF116575,H1N-MED-0010,2,suspicious_medium
0.0344,0.0,0.0322,CLEAR,1,AF116575,BEN-0088,0,benign
0.0,0.0,0.03,CLEAR,2,AF117241,BEN-0023,0,benign
0.5615,0.5615,0.5973,REVIEW,8,AF116575,H1N-PAR-0008,9,suspicious_partial
0.0352,0.0,0.0626,CLEAR,3,AF116575,BEN-0036,0,benign
0.9951,0.9951,0.9958,ALERT,16,AF116575,H1N-HIG-0026,1,suspicious_high
0.4164,0.1336,0.345,CLEAR,6,AF116575,H1N-PAR-0012,3,suspicious_partial
0.9664,0.9664,0.9714,ALERT,14,AF116575,H1N-HIG-0008,7,suspicious_high
0.017,0.0,0.0235,CLEAR,1,AF117241,BEN-0083,0,benign
0.0453,0.0,0.0676,CLEAR,3,AF117241,BEN-0047,0,benign
0.9992,0.9992,0.9993,ALERT,16,AF116575,H1N-HIG-0014,1,suspicious_high
0.4631,0.4631,0.5137,REVIEW,8,AF250356,H1N-PAR-0008,6,suspicious_partial
0.9574,0.9574,0.9638,ALERT,14,AF250356,H1N-HIG-0019,4,suspicious_high
0.9246,0.9246,0.9359,ALERT,15,AF116575,H1N-HIG-0001,7,suspicious_high
0.8759,0.8759,0.8945,ALERT,15,AF250356,H1N-HIG-0016,4,suspicious_high
0.0276,0.0276,0.0685,CLEAR,3,AF117241,BEN-0006,0,benign
0.9852,0.9852,0.9875,ALERT,16,AF116575,H1N-MED-0017,2,suspicious_medium
0.0177,0.0,0.0389,CLEAR,2,AF250356,BEN-0050,0,benign
0.0508,0.0303,0.096,CLEAR,4,AF116575,BEN-0018,0,benign
0.0311,0.0311,0.0565,CLEAR,2,AF116575,BEN-0062,0,benign
0.0,0.0,0.045,CLEAR,3,AF117241,BEN-0075,0,benign
0.7262,0.7262,0.7673,ALERT,11,AF250356,H1N-MED-0022,5,suspicious_medium
0.4967,0.4967,0.5272,REVIEW,7,AF116575,H1N-PAR-0019,9,suspicious_partial
0.0303,0.0,0.0452,CLEAR,2,AF116575,BEN-0065,0,benign
0.9984,0.9984,0.9986,ALERT,21,AF116575,H1N-HIG-0007,1,suspicious_high
0.0915,0.0227,0.1287,CLEAR,5,AF250356,BEN-0029,0,benign
0.7689,0.7689,0.8035,ALERT,10,AF116575,H1N-MED-0022,8,suspicious_medium
0.0172,0.0172,0.0746,CLEAR,4,AF116575,BEN-0013,0,benign
0.0312,0.0312,0.1015,CLEAR,5,AF250356,BEN-0044,0,benign
0.9984,0.9984,0.9986,ALERT,16,AF116575,H1N-HIG-0024,1,suspicious_high
0.9984,0.9984,0.9986,ALERT,15,AF116575,H1N-MED-0003,2,suspicious_medium
0.5934,0.3623,0.5435,REVIEW,8,AF116575,H1N-PAR-0017,3,suspicious_partial
0.6074,0.2434,0.5389,REVIEW,10,AF116575,H1N-PAR-0010,3,suspicious_partial
0.8533,0.8533,0.8753,ALERT,13,AF116575,H1N-MED-0027,2,suspicious_medium
0.8492,0.8492,0.8718,ALERT,12,AF116575,H1N-HIG-0011,7,suspicious_high
0.5934,0.5934,0.6244,ALERT,8,AF116575,H1N-MED-0005,8,suspicious_medium
0.6028,0.6028,0.6624,ALERT,10,AF250356,H1N-MED-0008,5,suspicious_medium
0.0,0.0,0.015,CLEAR,1,AF117241,BEN-0071,0,benign
0.0393,0.0393,0.0634,CLEAR,2,AF116575,BEN-0016,0,benign
0.0377,0.0377,0.092,CLEAR,4,AF116575,BEN-0092,0,benign
0.9355,0.9355,0.9451,ALERT,15,AF250356,H1N-HIG-0024,4,suspicious_high
0.8624,0.8624,0.883,ALERT,15,AF250356,H1N-HIG-0006,4,suspicious_high
0.9404,0.9404,0.9494,ALERT,14,AF250356,H1N-HIG-0003,4,suspicious_high
0.0459,0.0,0.0829,CLEAR,4,AF117241,BEN-0078,0,benign
0.0262,0.0,0.0731,CLEAR,4,AF250356,BEN-0022,0,benign
0.0,0.0,0.015,CLEAR,1,AF117241,BEN-0046,0,benign
0.7596,0.7106,0.7785,ALERT,15,AF250356,H1N-MED-0005,5,suspicious_medium
0.7844,0.7844,0.8167,ALERT,13,AF250356,H1N-MED-0019,5,suspicious_medium
0.0262,0.0262,0.0373,CLEAR,1,AF116575,BEN-0135,0,benign
0.0567,0.0,0.0884,CLEAR,4,AF250356,BEN-0019,0,benign
0.9348,0.9348,0.9445,ALERT,17,AF250356,H1N-HIG-0014,4,suspicious_high
0.3348,0.1426,0.3223,CLEAR,7,AF250356,H1N-PAR-0009,6,suspicious_partial
0.0,0.0,0.015,CLEAR,1,AF117241,BEN-0027,0,benign
0.9861,0.9861,0.9882,ALERT,12,AF116575,H1N-MED-0005,2,suspicious_medium
0.634,0.634,0.6889,ALERT,10,AF250356,H1N-MED-0010,5,suspicious_medium
0.6262,0.4,0.5731,REVIEW,8,AF116575,H1N-PAR-0024,3,suspicious_partial
0.0607,0.0295,0.1007,CLEAR,4,AF116575,BEN-0129,0,benign
0.0353,0.0206,0.0698,CLEAR,3,AF117241,BEN-0110,0,benign
0.6738,0.6738,0.7227,ALERT,10,AF116575,H1N-MED-0025,8,suspicious_medium
0.3411,0.3411,0.365,REVIEW,5,AF250356,H1N-PAR-0014,6,suspicious_partial
1.0,0.9779,0.9923,ALERT,15,AF116575,H1N-HIG-0025,1,suspicious_high
0.0,0.0,0.06,CLEAR,4,AF117241,BEN-0107,0,benign
0.9369,0.9369,0.9464,ALERT,13,AF116575,H1N-HIG-0010,7,suspicious_high
0.0141,0.0141,0.042,CLEAR,2,AF117241,BEN-0015,0,benign
0.0475,0.0,0.0838,CLEAR,4,AF116575,BEN-0102,0,benign
0.041,0.0,0.0805,CLEAR,4,AF116575,BEN-0077,0,benign
0.0723,0.0312,0.1221,CLEAR,5,AF250356,BEN-0148,0,benign
0.7333,0.7333,0.7733,ALERT,11,AF250356,H1N-MED-0026,5,suspicious_medium
0.0147,0.0,0.0673,CLEAR,4,AF117241,BEN-0128,0,benign
0.9598,0.9598,0.9659,ALERT,13,AF116575,H1N-HIG-0028,7,suspicious_high
0.6533,0.3877,0.6123,ALERT,11,AF116575,H1N-PAR-0013,3,suspicious_partial
0.5516,0.2443,0.4513,REVIEW,6,AF116575,H1N-PAR-0007,3,suspicious_partial
0.0163,0.0163,0.0589,CLEAR,3,AF250356,BEN-0085,0,benign
0.8879,0.8879,0.9048,ALERT,15,AF250356,H1N-HIG-0022,4,suspicious_high
0.9279,0.9279,0.9387,ALERT,12,AF116575,H1N-HIG-0015,7,suspicious_high
0.3979,0.3979,0.4582,REVIEW,8,AF250356,H1N-PAR-0005,6,suspicious_partial
0.5033,0.2156,0.4321,REVIEW,7,AF116575,H1N-PAR-0012,9,suspicious_partial
0.0353,0.0206,0.0848,CLEAR,4,AF117241,BEN-0010,0,benign
0.0213,0.0213,0.0781,CLEAR,4,AF116575,BEN-0101,0,benign
0.9984,0.9574,0.9843,ALERT,14,AF116575,H1N-MED-0026,2,suspicious_medium
0.0,0.0,0.06,CLEAR,4,AF117241,BEN-0040,0,benign
0.0672,0.041,0.123,CLEAR,5,AF116575,BEN-0111,0,benign
1.0,1.0,1.0,ALERT,19,AF116575,H1N-HIG-0004,1,suspicious_high
0.9574,0.9574,0.9638,ALERT,17,AF250356,H1N-HIG-0007,4,suspicious_high
0.9992,0.9992,0.9993,ALERT,16,AF116575,H1N-HIG-0000,1,suspicious_high
0.5697,0.25,0.5223,REVIEW,10,AF116575,H1N-PAR-0026,3,suspicious_partial
0.0,0.0,0.045,CLEAR,3,AF117241,BEN-0123,0,benign
0.0539,0.0277,0.1116,CLEAR,5,AF250356,BEN-0109,0,benign
0.0,0.0,0.015,CLEAR,1,AF117241,BEN-0096,0,benign
0.9115,0.9115,0.9248,ALERT,15,AF116575,H1N-MED-0019,2,suspicious_medium
0.9115,0.9115,0.9248,ALERT,13,AF116575,H1N-HIG-0023,7,suspicious_high
0.9638,0.9638,0.9693,ALERT,17,AF250356,H1N-HIG-0004,4,suspicious_high
0.0295,0.0295,0.0551,CLEAR,2,AF116575,BEN-0035,0,benign
0.9377,0.9377,0.947,ALERT,14,AF116575,H1N-HIG-0019,7,suspicious_high
0.5246,0.5246,0.5509,REVIEW,7,AF116575,H1N-PAR-0011,3,suspicious_partial
0.4484,0.109,0.3523,REVIEW,6,AF116575,H1N-PAR-0004,9,suspicious_partial
0.6197,0.241,0.5142,REVIEW,8,AF116575,H1N-PAR-0023,3,suspicious_partial
0.9376,0.9376,0.947,ALERT,15,AF250356,H1N-HIG-0020,4,suspicious_high
0.5844,0.5844,0.6318,ALERT,9,AF116575,H1N-MED-0021,8,suspicious_medium
0.7064,0.7064,0.7504,ALERT,10,AF250356,H1N-MED-0014,5,suspicious_medium
0.0227,0.0227,0.0343,CLEAR,1,AF250356,BEN-0091,0,benign
0.0298,0.0298,0.0403,CLEAR,1,AF250356,BEN-0138,0,benign
0.6738,0.3959,0.6255,ALERT,11,AF116575,H1N-MED-0002,8,suspicious_medium
0.8451,0.8451,0.8683,ALERT,11,AF116575,H1N-MED-0011,8,suspicious_medium
0.8926,0.8926,0.9087,ALERT,13,AF116575,H1N-HIG-0000,7,suspicious_high
0.7615,0.7615,0.7973,ALERT,10,AF116575,H1N-MED-0000,8,suspicious_medium
0.982,0.982,0.9847,ALERT,15,AF116575,H1N-MED-0022,2,suspicious_medium
0.0,0.0,0.045,CLEAR,3,AF117241,BEN-0146,0,benign
0.4312,0.4312,0.4565,REVIEW,6,AF250356,H1N-PAR-0027,6,suspicious_partial
0.3213,0.0482,0.2525,CLEAR,5,AF250356,H1N-PAR-0029,6,suspicious_partial
0.0624,0.0348,0.0734,CLEAR,2,AF250356,BEN-0064,0,benign
0.9574,0.9574,0.9638,ALERT,14,AF250356,H1N-HIG-0008,4,suspicious_high
0.2762,0.0795,0.2259,CLEAR,4,AF116575,H1N-PAR-0025,9,suspicious_partial
0.3759,0.3638,0.4203,REVIEW,7,AF250356,H1N-PAR-0011,6,suspicious_partial
0.0,0.0,0.045,CLEAR,3,AF117241,BEN-0147,0,benign
0.9959,0.9959,0.9965,ALERT,20,AF117241,H1N-HIG-0020,1,suspicious_high
0.8128,0.8128,0.8409,ALERT,12,AF250356,H1N-MED-0013,5,suspicious_medium
0.0872,0.0355,0.101,CLEAR,3,AF250356,BEN-0124,0,benign
0.0705,0.0,0.1102,CLEAR,5,AF116575,BEN-0105,0,benign
0.0385,0.0,0.0943,CLEAR,5,AF116575,BEN-0120,0,benign
0.0454,0.0248,0.0914,CLEAR,4,AF250356,BEN-0125,0,benign
0.9328,0.9328,0.9429,ALERT,11,AF116575,H1N-HIG-0013,7,suspicious_high
0.027,0.027,0.038,CLEAR,1,AF116575,BEN-0061,0,benign
0.4603,0.2872,0.4807,REVIEW,10,AF250356,H1N-PAR-0002,6,suspicious_partial
0.6262,0.6262,0.6673,ALERT,9,AF116575,H1N-MED-0004,8,suspicious_medium
0.0549,0.0189,0.1091,CLEAR,5,AF116575,BEN-0130,0,benign
0.5533,0.1893,0.4629,REVIEW,8,AF116575,H1N-PAR-0001,3,suspicious_partial
0.5773,0.5773,0.6407,ALERT,10,AF250356,H1N-MED-0020,5,suspicious_medium
0.0557,0.0,0.1029,CLEAR,5,AF116575,BEN-0021,0,benign
0.977,0.977,0.9805,ALERT,13,AF116575,H1N-HIG-0003,7,suspicious_high
0.9123,0.9123,0.9255,ALERT,13,AF116575,H1N-MED-0004,2,suspicious_medium
0.7702,0.7702,0.8047,ALERT,14,AF250356,H1N-MED-0018,5,suspicious_medium
0.8851,0.8851,0.9023,ALERT,12,AF250356,H1N-HIG-0002,4,suspicious_high
0.068,0.0369,0.1219,CLEAR,5,AF116575,BEN-0131,0,benign
0.0,0.0,0.03,CLEAR,2,AF117241,BEN-0118,0,benign
0.0681,0.0326,0.0905,CLEAR,3,AF250356,BEN-0052,0,benign
0.0615,0.0,0.0757,CLEAR,3,AF116575,BEN-0094,0,benign
0.4369,0.0885,0.3244,CLEAR,5,AF116575,H1N-PAR-0006,9,suspicious_partial
0.8574,0.8574,0.8788,ALERT,13,AF116575,H1N-MED-0020,2,suspicious_medium
0.9787,0.9787,0.9819,ALERT,16,AF116575,H1N-HIG-0002,1,suspicious_high
0.0336,0.0,0.0768,CLEAR,4,AF116575,BEN-0054,0,benign
0.5885,0.5885,0.6502,ALERT,10,AF116575,H1N-MED-0028,8,suspicious_medium
0.8877,0.8877,0.9045,ALERT,14,AF116575,H1N-MED-0007,2,suspicious_medium
0.7,0.7,0.745,ALERT,10,AF116575,H1N-MED-0023,8,suspicious_medium
0.5525,0.5525,0.5896,REVIEW,8,AF116575,H1N-MED-0017,8,suspicious_medium
0.2879,0.1773,0.281,CLEAR,5,AF250356,H1N-PAR-0004,6,suspicious_partial
0.077,0.0361,0.1111,CLEAR,4,AF116575,BEN-0114,0,benign
0.5688,0.5688,0.6335,ALERT,10,AF250356,H1N-MED-0025,5,suspicious_medium
0.7426,0.7426,0.7812,ALERT,11,AF116575,H1N-MED-0012,8,suspicious_medium
0.0333,0.0,0.0917,CLEAR,5,AF250356,BEN-0072,0,benign
0.366,0.2106,0.3317,CLEAR,5,AF250356,H1N-PAR-0006,6,suspicious_partial
0.0752,0.0,0.0976,CLEAR,4,AF250356,BEN-0104,0,benign
0.034,0.0,0.077,CLEAR,4,AF250356,BEN-0081,0,benign
0.8426,0.8426,0.8662,ALERT,12,AF116575,H1N-MED-0009,2,suspicious_medium
0.0,0.0,0.075,CLEAR,5,AF117241,BEN-0038,0,benign
0.9319,0.9319,0.9421,ALERT,15,AF250356,H1N-HIG-0009,4,suspicious_high
0.4902,0.4902,0.5216,REVIEW,7,AF116575,H1N-PAR-0007,9,suspicious_partial
0.9148,0.7721,0.8776,ALERT,11,AF116575,H1N-MED-0016,2,suspicious_medium
0.7893,0.7893,0.8209,ALERT,11,AF116575,H1N-MED-0026,8,suspicious_medium
0.8348,0.8348,0.8595,ALERT,13,AF250356,H1N-HIG-0010,4,suspicious_high
0.622,0.573,0.6616,ALERT,11,AF250356,H1N-MED-0029,5,suspicious_medium
0.9992,0.9992,0.9993,ALERT,17,AF116575,H1N-HIG-0003,1,suspicious_high
0.177,0.0,0.1485,CLEAR,4,AF116575,H1N-PAR-0020,9,suspicious_partial
0.839,0.839,0.8632,ALERT,14,AF250356,H1N-MED-0006,5,suspicious_medium
0.9959,0.9959,0.9965,ALERT,15,AF116575,H1N-MED-0002,2,suspicious_medium
1.0,1.0,1.0,ALERT,21,AF116575,H1N-HIG-0015,1,suspicious_high
0.0,0.0,0.03,CLEAR,2,AF117241,BEN-0137,0,benign
0.6762,0.6762,0.7098,ALERT,9,AF116575,H1N-MED-0003,8,suspicious_medium
0.4816,0.4816,0.5293,REVIEW,8,AF250356,H1N-PAR-0021,6,suspicious_partial
0.0,0.0,0.03,CLEAR,2,AF117241,BEN-0063,0,benign
0.0645,0.0305,0.0879,CLEAR,3,AF250356,BEN-0034,0,benign
0.0254,0.0254,0.0816,CLEAR,4,AF116575,BEN-0115,0,benign
0.022,0.0,0.041,CLEAR,2,AF250356,BEN-0097,0,benign
0.3984,0.15,0.3267,CLEAR,5,AF116575,H1N-PAR-0028,9,suspicious_partial
0.0212,0.0,0.0706,CLEAR,4,AF117241,BEN-0053,0,benign
0.0,0.0,0.015,CLEAR,1,AF117241,BEN-0100,0,benign
0.956,0.956,0.9626,ALERT,13,AF250356,H1N-HIG-0027,4,suspicious_high
0.0412,0.0165,0.0563,CLEAR,2,AF117241,BEN-0039,0,benign
0.8549,0.8549,0.8767,ALERT,13,AF116575,H1N-MED-0025,2,suspicious_medium
0.0454,0.0,0.0977,CLEAR,5,AF250356,BEN-0012,0,benign
0.3135,0.3298,0.3472,CLEAR,5,AF250356,H1N-PAR-0000,6,suspicious_partial
0.0787,0.0377,0.0825,CLEAR,2,AF116575,BEN-0045,0,benign
0.4787,0.2461,0.4455,REVIEW,8,AF250356,H1N-PAR-0016,6,suspicious_partial
0.7672,0.7672,0.8021,ALERT,11,AF116575,H1N-MED-0024,8,suspicious_medium
0.0,0.0,0.03,CLEAR,2,AF117241,BEN-0132,0,benign
0.0,0.0,0.045,CLEAR,3,AF117241,BEN-0116,0,benign
0.8709,0.8709,0.8903,ALERT,13,AF250356,H1N-HIG-0005,4,suspicious_high
0.5721,0.5721,0.6063,ALERT,8,AF116575,H1N-PAR-0009,9,suspicious_partial
0.4,0.4008,0.4303,REVIEW,6,AF116575,H1N-PAR-0023,9,suspicious_partial
0.6811,0.6811,0.699,ALERT,8,AF116575,H1N-MED-0016,8,suspicious_medium
0.0803,0.0238,0.1085,CLEAR,4,AF116575,BEN-0043,0,benign
0.9546,0.9546,0.9614,ALERT,14,AF250356,H1N-HIG-0011,4,suspicious_high
0.7172,0.1869,0.559,REVIEW,9,AF116575,H1N-PAR-0006,3,suspicious_partial
0.8434,0.8434,0.8669,ALERT,12,AF116575,H1N-HIG-0014,7,suspicious_high
0.0254,0.0254,0.0366,CLEAR,1,AF116575,BEN-0082,0,benign
0.8484,0.8484,0.8711,ALERT,13,AF116575,H1N-HIG-0004,7,suspicious_high
0.0865,0.0326,0.1297,CLEAR,5,AF250356,BEN-0057,0,benign
0.4248,0.4248,0.4361,REVIEW,5,AF250356,H1N-PAR-0020,6,suspicious_partial
0.9975,0.9975,0.9979,ALERT,15,AF116575,H1N-HIG-0029,7,suspicious_high
0.4459,0.4459,0.484,REVIEW,7,AF116575,H1N-PAR-0003,3,suspicious_partial
0.573,0.1082,0.4443,REVIEW,8,AF116575,H1N-PAR-0005,9,suspicious_partial
0.4885,0.4885,0.5052,REVIEW,6,AF116575,H1N-PAR-0027,9,suspicious_partial
0.8794,0.8794,0.8975,ALERT,17,AF250356,H1N-HIG-0023,4,suspicious_high
0.0467,0.0189,0.09,CLEAR,4,AF116575,BEN-0033,0,benign
0.5823,0.5823,0.6299,ALERT,9,AF250356,H1N-MED-0021,5,suspicious_medium
1.0,0.9451,0.9808,ALERT,15,AF116575,H1N-MED-0018,2,suspicious_medium
0.0298,0.0298,0.0553,CLEAR,2,AF250356,BEN-0014,0,benign
0.0615,0.0,0.0757,CLEAR,3,AF116575,BEN-0073,0,benign
0.3333,0.2908,0.3584,REVIEW,6,AF250356,H1N-PAR-0026,6,suspicious_partial
0.9754,0.9754,0.9791,ALERT,19,AF116575,H1N-MED-0014,2,suspicious_medium
0.0,0.0,0.03,CLEAR,2,AF117241,BEN-0049,0,benign
0.5492,0.5492,0.5868,REVIEW,8,AF116575,H1N-MED-0010,8,suspicious_medium
0.6532,0.6532,0.7052,ALERT,10,AF250356,H1N-MED-0024,5,suspicious_medium
0.0319,0.0319,0.0721,CLEAR,3,AF250356,BEN-0067,0,benign
0.0298,0.0,0.0749,CLEAR,4,AF250356,BEN-0119,0,benign
0.0246,0.0246,0.0959,CLEAR,5,AF116575,BEN-0058,0,benign
0.9984,0.9492,0.9814,ALERT,16,AF116575,H1N-MED-0012,2,suspicious_medium
0.9369,0.9369,0.9463,ALERT,15,AF250356,H1N-HIG-0028,4,suspicious_high
0.6986,0.6986,0.7438,ALERT,11,AF250356,H1N-MED-0028,5,suspicious_medium
0.9984,0.9984,0.9986,ALERT,15,AF116575,H1N-MED-0006,2,suspicious_medium
